SPEARMEN,X,,,,,,,,,,,,,,,,,
Yari Ashigaru,2,1,2,17,40,6.5,5,1,6,3,1,3,1,1,1,2,STR,lightinf
SWORDSMEN,X,,,,,,,,,,,,,,,,,
Tabaxi Sailors,2,1,2,17,40,7.5,5,1,8,3,1,3,1,1,1,2,STR,lightinf
Tabaxi Marines,3,2,3,18,55,17,6,1,8,4,2,4,2,2,2,3,STR,heavyinf
BOWMEN,X,,,,,,,,,,,,,,,,,
Yami Ashigaru,2,1,2,14,32,7.5,5,1,8,3,1,1,3,1,1,2,DEX,light
GUNMEN,X,,,,,,,,,,,,,,,,,
Tabaxi Musketeers,5,3,1,15,55,19,7,6,6,4,2,2,4,2,2,3,DEX,heavy
LIGHT CAVALRY,X,,,,,,,,,,,,,,,,,
Kiba Samurai,5,5,3,18,69,17,7,1,8,4,2,4,2,2,2,3,STR,lightcav
HEAVY CAVALRY,X,,,,,,,,,,,,,,,,,
Heavy Samurai,6,6,3,19,70,21,7,1,12,4,2,4,2,2,2,3,STR,heavycav
GREATSWORDSMEN,X,,,,,,,,,,,,,,,,,
Ronin,4,2,3,17,55,22,6,2,6,4,2,4,2,2,2,3,STR,heavyinf
